feature_code,year,measurement,value,walking_time_to_nearest_green_or_blue_space,age,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,neighbourhood_rating,community_belonging,la_name
S12000036,2015,Percent,1,Don't Know,All,Male,All,All,All,All,All,NA,NA,City of Edinburgh
S12000033,2014,Percent,2,Don't Know,All,All,All,All,All,All,All,NA,NA,Aberdeen City
S12000033,2014,Percent,1,Don't Know,All,All,All,All,All,With Children,All,NA,NA,Aberdeen City
S12000033,2014,Percent,2,Don't Know,All,Female,All,All,All,All,All,NA,NA,Aberdeen City
S12000030,2013,Percent,0,Don't Know,All,All,All,All,All,All,All,NA,NA,Stirling
S12000050,2019,Percent,3,Don't Know,All,All,All,All,All,Adults,All,NA,NA,North Lanarkshire
S12000036,2015,Percent,2,Don't Know,All,Female,All,All,All,All,All,NA,NA,City of Edinburgh
S12000050,2019,Percent,6,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,North Lanarkshire
S12000049,2019,Percent,3,Don't Know,All,All,All,All,All,With Children,All,NA,NA,Glasgow City
S12000036,2015,Percent,1,Don't Know,All,All,All,All,All,All,All,NA,NA,City of Edinburgh
S12000030,2017,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Stirling
S12000030,2017,Percent,1,Don't Know,All,Female,All,All,All,All,All,NA,NA,Stirling
S12000030,2017,Percent,1,Don't Know,All,All,All,All,All,All,All,NA,NA,Stirling
S12000030,2014,Percent,1,Don't Know,All,Female,All,All,All,All,All,NA,NA,Stirling
S12000030,2014,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Stirling
S12000033,2013,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Aberdeen City
S12000033,2013,Percent,1,Don't Know,All,Male,All,All,All,All,All,NA,NA,Aberdeen City
S12000030,2017,Percent,1,Don't Know,All,All,All,All,All,With Children,All,NA,NA,Stirling
S12000038,2018,Percent,15,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Renfrewshire
S12000036,2018,Percent,8,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,City of Edinburgh
S12000038,2018,Percent,2,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Renfrewshire
S12000035,2018,Percent,6,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Argyll and Bute
S12000034,2018,Percent,13,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Aberdeenshire
S12000035,2018,Percent,6,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Argyll and Bute
S12000013,2017,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,Na h-Eileanan Siar
S12000030,2017,Percent,77,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Stirling
S12000018,2015,Percent,2,Don't Know,All,All,Urban,All,All,All,All,NA,NA,Inverclyde
S12000010,2016,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,East Lothian
S12000033,2013,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Aberdeen City
S12000045,2019,Percent,3,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,East Dunbartonshire
S12000048,2019,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Perth and Kinross
S12000049,2019,Percent,4,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Glasgow City
S12000026,2019,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Scottish Borders
S12000011,2019,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,East Renfrewshire
S12000042,2019,Percent,6,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Dundee City
S12000045,2019,Percent,3,Don't Know,All,All,All,All,All,Adults,All,NA,NA,East Dunbartonshire
S12000029,2019,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,South Lanarkshire
S12000018,2019,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Inverclyde
S12000014,2019,Percent,2,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Falkirk
S12000017,2019,Percent,1,Don't Know,All,All,All,All,All,With Children,All,NA,NA,Highland
S12000030,2019,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Stirling
S12000011,2019,Percent,1,Don't Know,All,All,All,All,All,With Children,All,NA,NA,East Renfrewshire
S12000042,2019,Percent,5,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Dundee City
S12000029,2019,Percent,2,Don't Know,All,All,All,All,All,Adults,All,NA,NA,South Lanarkshire
S12000036,2015,Percent,2,Don't Know,All,All,All,All,All,Adults,All,NA,NA,City of Edinburgh
S12000033,2017,Percent,2,Don't Know,All,All,All,All,All,With Children,All,NA,NA,Aberdeen City
S12000033,2017,Percent,3,Don't Know,All,All,All,All,All,All,All,NA,NA,Aberdeen City
S12000010,2014,Percent,6,An 11 minute walk or more,All,All,All,All,All,All,All,NA,NA,East Lothian
S12000049,2018,Percent,17,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,Glasgow City
S12000030,2015,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Stirling
S12000034,2014,Percent,1,Don't Know,All,All,All,All,All,All,All,NA,NA,Aberdeenshire
S12000038,2013,Percent,1,Don't Know,All,Female,All,All,All,All,All,NA,NA,Renfrewshire
S12000038,2013,Percent,1,Don't Know,All,Male,All,All,All,All,All,NA,NA,Renfrewshire
S12000033,2018,Percent,11,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Aberdeen City
S12000029,2018,Percent,14,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,South Lanarkshire
S12000033,2018,Percent,18,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Aberdeen City
S12000045,2018,Percent,12,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,East Dunbartonshire
S12000041,2018,Percent,17,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Angus
S12000005,2014,Percent,0,An 11 minute walk or more,35-64 years,All,All,All,All,All,All,NA,NA,Clackmannanshire
S12000010,2015,Percent,2,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,East Lothian
S12000021,2014,Percent,15,An 11 minute walk or more,65 years and over,All,All,All,All,All,All,NA,NA,North Ayrshire
S12000020,2014,Percent,18,An 11 minute walk or more,35-64 years,All,All,All,All,All,All,NA,NA,Moray
S12000008,2014,Percent,6,An 11 minute walk or more,65 years and over,All,All,All,All,All,All,NA,NA,East Ayrshire
S12000006,2014,Percent,2,An 11 minute walk or more,35-64 years,All,All,All,All,All,All,NA,NA,Dumfries and Galloway
S12000019,2014,Percent,9,An 11 minute walk or more,65 years and over,All,All,All,All,All,All,NA,NA,Midlothian
S12000013,2014,Percent,6,An 11 minute walk or more,35-64 years,All,All,All,All,All,All,NA,NA,Na h-Eileanan Siar
S12000028,2018,Percent,11,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,South Ayrshire
S12000008,2017,Percent,5,An 11 minute walk or more,All,Male,All,All,All,All,All,NA,NA,East Ayrshire
S12000005,2014,Percent,3,An 11 minute walk or more,65 years and over,All,All,All,All,All,All,NA,NA,Clackmannanshire
S12000019,2014,Percent,6,An 11 minute walk or more,35-64 years,All,All,All,All,All,All,NA,NA,Midlothian
S12000049,2018,Percent,14,An 11 minute walk or more,All,Male,All,All,All,All,All,NA,NA,Glasgow City
S12000042,2018,Percent,19,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Dundee City
S12000045,2018,Percent,5,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,East Dunbartonshire
S12000040,2018,Percent,31,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,West Lothian
S12000048,2018,Percent,5,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Perth and Kinross
S12000040,2018,Percent,31,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,West Lothian
S12000041,2018,Percent,13,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Angus
S12000042,2018,Percent,14,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Dundee City
S12000014,2015,Percent,18,An 11 minute walk or more,65 years and over,All,All,All,All,All,All,NA,NA,Falkirk
S12000020,2015,Percent,6,An 11 minute walk or more,35-64 years,All,All,All,All,All,All,NA,NA,Moray
S12000047,2014,Percent,5,An 11 minute walk or more,35-64 years,All,All,All,All,All,All,NA,NA,Fife
S12000047,2014,Percent,7,An 11 minute walk or more,16-34 years,All,All,All,All,All,All,NA,NA,Fife
S12000005,2019,Percent,4,An 11 minute walk or more,All,Male,All,All,All,All,All,NA,NA,Clackmannanshire
S12000010,2019,Percent,6,An 11 minute walk or more,All,Male,All,All,All,All,All,NA,NA,East Lothian
S12000019,2019,Percent,8,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,Midlothian
S12000005,2019,Percent,8,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,Clackmannanshire
S12000050,2019,Percent,14,An 11 minute walk or more,35-64 years,All,All,All,All,All,All,NA,NA,North Lanarkshire
S12000006,2019,Percent,7,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,Dumfries and Galloway
S12000023,2016,Percent,14,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,Orkney Islands
S12000018,2019,Percent,23,An 11 minute walk or more,All,Male,All,All,All,All,All,NA,NA,Inverclyde
S12000008,2015,Percent,9,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,East Ayrshire
S12000019,2019,Percent,9,An 11 minute walk or more,All,Male,All,All,All,All,All,NA,NA,Midlothian
S12000021,2019,Percent,9,An 11 minute walk or more,All,Male,All,All,All,All,All,NA,NA,North Ayrshire
S12000018,2019,Percent,13,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,Inverclyde
S12000021,2019,Percent,10,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,North Ayrshire
S12000020,2019,Percent,11,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,Moray
S12000020,2019,Percent,13,An 11 minute walk or more,All,Male,All,All,All,All,All,NA,NA,Moray
S12000049,2019,Percent,14,An 11 minute walk or more,All,Male,All,All,All,All,All,NA,NA,Glasgow City
S12000036,2016,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,City of Edinburgh
S12000036,2016,Percent,1,Don't Know,All,Male,All,All,All,All,All,NA,NA,City of Edinburgh
S12000029,2017,Percent,23,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,South Lanarkshire
S12000049,2019,Percent,17,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,Glasgow City
S12000008,2014,Percent,7,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,East Ayrshire
S12000036,2014,Percent,2,Don't Know,All,All,All,All,All,Adults,All,NA,NA,City of Edinburgh
S12000036,2016,Percent,1,Don't Know,All,All,All,All,All,With Children,All,NA,NA,City of Edinburgh
S12000033,2014,Percent,1,Don't Know,All,Male,All,All,All,All,All,NA,NA,Aberdeen City
S12000030,2014,Percent,1,Don't Know,All,All,All,All,All,All,All,NA,NA,Stirling
S12000033,2014,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Aberdeen City
S12000036,2016,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,City of Edinburgh
S12000033,2015,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Aberdeen City
S12000038,2013,Percent,1,Don't Know,All,All,All,All,All,All,All,NA,NA,Renfrewshire
S12000036,2016,Percent,1,Don't Know,All,Female,All,All,All,All,All,NA,NA,City of Edinburgh
S12000033,2016,Percent,1,Don't Know,All,Male,All,All,All,All,All,NA,NA,Aberdeen City
S12000023,2019,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Orkney Islands
S12000033,2017,Percent,2,Don't Know,All,Female,All,All,All,All,All,NA,NA,Aberdeen City
S12000033,2017,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Aberdeen City
S12000033,2016,Percent,2,Don't Know,All,Female,All,All,All,All,All,NA,NA,Aberdeen City
S12000033,2015,Percent,1,Don't Know,All,Female,All,All,All,All,All,NA,NA,Aberdeen City
S12000021,2019,Percent,3,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,North Ayrshire
S12000021,2019,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,North Ayrshire
S12000027,2019,Percent,2,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Shetland Islands
S12000033,2019,Percent,2,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Aberdeen City
S12000050,2019,Percent,21,An 11 minute walk or more,65 years and over,All,All,All,All,All,All,NA,NA,North Lanarkshire
S12000036,2014,Percent,1,Don't Know,All,Male,All,All,All,All,All,NA,NA,City of Edinburgh
S12000036,2016,Percent,1,Don't Know,All,All,All,All,All,All,All,NA,NA,City of Edinburgh
S12000038,2013,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Renfrewshire
S12000036,2014,Percent,2,Don't Know,All,All,All,All,All,All,All,NA,NA,City of Edinburgh
S12000036,2014,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,City of Edinburgh
S12000036,2014,Percent,3,Don't Know,All,Female,All,All,All,All,All,NA,NA,City of Edinburgh
S12000033,2017,Percent,3,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Aberdeen City
S12000033,2017,Percent,4,Don't Know,All,Male,All,All,All,All,All,NA,NA,Aberdeen City
S12000034,2013,Percent,1,Don't Know,All,All,All,All,All,All,All,NA,NA,Aberdeenshire
S12000038,2013,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Renfrewshire
S12000034,2013,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Aberdeenshire
S12000042,2017,Percent,51,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Dundee City
S12000035,2019,Percent,17,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Argyll and Bute
S12000049,2013,Percent,59,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Glasgow City
S12000045,2013,Percent,33,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,East Dunbartonshire
S12000048,2016,Percent,74,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Perth and Kinross
S12000050,2019,Percent,20,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,North Lanarkshire
S12000014,2017,Percent,56,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Falkirk
S12000039,2013,Percent,51,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,West Dunbartonshire
S12000039,2019,Percent,17,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,West Dunbartonshire
S12000039,2019,Percent,14,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,West Dunbartonshire
S12000049,2017,Percent,18,An 11 minute walk or more,All,All,Urban,All,All,All,All,NA,NA,Glasgow City
S12000028,2016,Percent,18,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,South Ayrshire
S12000005,2019,Percent,7,An 11 minute walk or more,All,All,Urban,All,All,All,All,NA,NA,Clackmannanshire
S12000034,2019,Percent,24,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Aberdeenshire
S12000005,2014,Percent,77,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Clackmannanshire
S12000010,2015,Percent,12,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,East Lothian
S12000040,2019,Percent,5,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,West Lothian
S12000045,2019,Percent,19,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,East Dunbartonshire
S12000040,2019,Percent,3,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,West Lothian
S12000039,2019,Percent,18,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,West Dunbartonshire
S12000049,2015,Percent,19,An 11 minute walk or more,All,All,Urban,All,All,All,All,NA,NA,Glasgow City
S12000038,2014,Percent,70,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Renfrewshire
S12000036,2016,Percent,66,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,City of Edinburgh
S12000042,2019,Percent,29,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Dundee City
S12000038,2019,Percent,16,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Renfrewshire
S12000036,2019,Percent,8,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,City of Edinburgh
S12000008,2015,Percent,10,An 11 minute walk or more,All,All,Urban,All,All,All,All,NA,NA,East Ayrshire
S12000035,2019,Percent,14,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Argyll and Bute
S12000048,2017,Percent,74,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Perth and Kinross
S12000017,2015,Percent,75,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Highland
S12000041,2017,Percent,26,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,Angus
S12000017,2018,Percent,5,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Highland
S12000017,2018,Percent,7,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Highland
S12000028,2018,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,South Ayrshire
S12000026,2018,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,Scottish Borders
S12000045,2016,Percent,29,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,East Dunbartonshire
S12000020,2016,Percent,12,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,Moray
S92000003,2018,Percent,15,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Scotland
S12000018,2017,Percent,2,Don't Know,All,All,Urban,All,All,All,All,NA,NA,Inverclyde
S12000034,2014,Percent,68,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Aberdeenshire
S12000048,2018,Percent,24,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Perth and Kinross
S12000035,2017,Percent,12,An 11 minute walk or more,All,All,Urban,All,All,All,All,NA,NA,Argyll and Bute
S12000029,2019,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,South Lanarkshire
S12000047,2016,Percent,23,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,Fife
S12000036,2018,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,City of Edinburgh
S12000040,2018,Percent,2,Don't Know,All,All,Urban,All,All,All,All,NA,NA,West Lothian
S12000021,2018,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,North Ayrshire
S12000014,2016,Percent,29,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,Falkirk
S12000035,2018,Percent,7,Don't Know,All,All,Urban,All,All,All,All,NA,NA,Argyll and Bute
S12000033,2018,Percent,2,Don't Know,All,All,Urban,All,All,All,All,NA,NA,Aberdeen City
S12000019,2019,Percent,7,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Midlothian
S12000028,2019,Percent,9,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,South Ayrshire
S12000029,2019,Percent,21,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,South Lanarkshire
S12000028,2019,Percent,8,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,South Ayrshire
S12000030,2019,Percent,2,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Stirling
S12000039,2016,Percent,31,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,West Dunbartonshire
S12000027,2019,Percent,9,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Shetland Islands
S12000013,2015,Percent,15,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,Na h-Eileanan Siar
S12000023,2019,Percent,47,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Orkney Islands
S12000029,2019,Percent,13,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,South Lanarkshire
S12000026,2019,Percent,4,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Scottish Borders
S12000023,2019,Percent,30,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Orkney Islands
S12000026,2019,Percent,9,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Scottish Borders
S12000048,2019,Percent,12,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Perth and Kinross
S12000034,2017,Percent,20,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,Aberdeenshire
S12000008,2013,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,East Ayrshire
S12000047,2014,Percent,14,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,Fife
S12000017,2017,Percent,75,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Highland
S12000050,2014,Percent,58,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,North Lanarkshire
S12000049,2016,Percent,55,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Glasgow City
S12000049,2017,Percent,56,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Glasgow City
S12000041,2018,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,Angus
S12000006,2015,Percent,1,Don't Know,All,All,Urban,All,All,All,All,NA,NA,Dumfries and Galloway
S12000049,2014,Percent,59,A 5 minute walk or less,All,All,Urban,All,All,All,All,NA,NA,Glasgow City
S92000003,2018,Percent,12,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Scotland
S12000010,2014,Percent,5,An 11 minute walk or more,All,All,Urban,All,All,All,All,NA,NA,East Lothian
S12000050,2018,Percent,23,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,North Lanarkshire
S12000036,2019,Percent,10,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,City of Edinburgh
S12000014,2014,Percent,27,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,Falkirk
S12000038,2019,Percent,9,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Renfrewshire
S12000041,2015,Percent,15,Within a 6-10 minute walk,All,All,Urban,All,All,All,All,NA,NA,Angus
S12000013,2016,Percent,3,Don't Know,All,All,Urban,All,All,All,All,NA,NA,Na h-Eileanan Siar
S12000008,2013,Percent,9,An 11 minute walk or more,All,Female,All,All,All,All,All,NA,NA,East Ayrshire
S12000006,2019,Percent,6,An 11 minute walk or more,All,All,Urban,All,All,All,All,NA,NA,Dumfries and Galloway
S92000003,2018,Percent,9,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,Scotland
S12000045,2019,Percent,11,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,East Dunbartonshire
S12000047,2019,Percent,5,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Fife
S12000048,2019,Percent,36,An 11 minute walk or more,All,All,All,All,All,Pensioners,All,NA,NA,Perth and Kinross
S12000050,2019,Percent,21,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,North Lanarkshire
S12000026,2019,Percent,3,An 11 minute walk or more,All,All,All,All,All,Adults,All,NA,NA,Scottish Borders
